time,open,high,low,close,Fast EMA,Standard EMA,Slow EMA,SPX · TVC: close,MA,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,Short Period Moving Average,Long Period Moving Average,Plot,Shapes,Shapes,Volume,Volume MA,Histogram,MACD,Signal,OBV,Signal,Crossover,Crossunder,Basis,Upper Band,Lower Band,Upper Band,Lower Band,volume,MA,ATR,ATR,Plot,RoC & MA Cross Up,RoC & MA Cross Down,Basis,Rate of Change,Bull,Hidden Bull,Bear,Hidden Bear
1027344600,82.67,82.8,82.42,82.50999,NaN,NaN,NaN,852.84,NaN,NaN,NaN,86.95,NaN,NaN,NaN,NaN,NaN,0,0,316300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,316300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1027949400,82.06,84.10001,81.32001,83.85001,NaN,NaN,NaN,864.24,NaN,NaN,NaN,87.97,NaN,NaN,NaN,NaN,NaN,0,0,121700,NaN,NaN,NaN,NaN,121700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,121700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1028554200,84.03999,84.88,83.22,84.88,NaN,NaN,NaN,908.6,NaN,NaN,NaN,88.06,NaN,NaN,NaN,NaN,NaN,0,0,243100,NaN,NaN,NaN,NaN,364800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,243100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1029159000,85.3,87.89999,84.82001,85.06,NaN,NaN,NaN,928.77,NaN,NaN,NaN,88.42,NaN,NaN,NaN,NaN,NaN,0,0,408500,NaN,NaN,NaN,NaN,773300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,408500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1029763800,85.05,86.28999,84.71001,85.89999,NaN,NaN,NaN,940.86,NaN,NaN,NaN,87.81,NaN,NaN,NaN,NaN,NaN,0,0,182600,NaN,NaN,NaN,NaN,955900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,182600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1030368600,85.7,87.13,85.2,87.08,NaN,NaN,NaN,916.08,NaN,NaN,NaN,88.3,NaN,NaN,NaN,NaN,NaN,0,0,557600,NaN,NaN,NaN,NaN,1513500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,557600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1031059800,87.08,88.64999,87,87.46001,NaN,NaN,NaN,893.92,85.24857142857142,NaN,NaN,90.47,NaN,NaN,85.24857142857142,NaN,NaN,0,0,956800,NaN,NaN,NaN,NaN,2470300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,956800,NaN,NaN,1.865707142857143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1031578200,87.5,88.94,86.75,88.78,NaN,NaN,NaN,889.8,86.14428714285714,NaN,NaN,90.56,NaN,NaN,86.14428714285714,NaN,NaN,0,0,796000,NaN,NaN,NaN,NaN,3266300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,796000,NaN,NaN,1.9120346938775508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1032183000,89.2,89.77,88.36,89.3,NaN,NaN,NaN,845.39,86.92285714285715,85.545005,NaN,89.96001,NaN,NaN,86.92285714285715,NaN,NaN,0,0,568400,NaN,NaN,NaN,NaN,3834700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,568400,NaN,NaN,1.8403154518950429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1032787800,90,90.94,88.61,90.03999,86.485999,NaN,NaN,827.36,87.65999857142857,86.130005,NaN,86.05,NaN,NaN,87.65999857142857,NaN,NaN,0,0,1269500,NaN,NaN,NaN,NaN,5104200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1269500,NaN,NaN,1.910270387338608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1033392600,90.66,90.89999,88.39999,89.50999,87.18599900000001,NaN,NaN,800.59,88.29571142857142,87.08,NaN,87.75,NaN,NaN,88.29571142857142,NaN,NaN,0,0,807200,NaN,NaN,NaN,NaN,4297000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,807200,1.9045690301660017,NaN,1.994517474861664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1033997400,89.89999,90.52,88.06,88.38,87.638998,NaN,NaN,835.32,88.64999857142857,87.825005,NaN,87.05,NaN,NaN,88.64999857142857,NaN,NaN,0,0,1886500,NaN,NaN,NaN,NaN,2410500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1886500,1.943630597285144,NaN,2.061014978452854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1034602200,88.5,88.55,84.28,85.37,87.68799800000001,NaN,NaN,884.38,88.40571285714286,87.61,NaN,87.25999,NaN,NaN,88.40571285714286,NaN,NaN,0,0,1133100,NaN,NaN,NaN,NaN,1277400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1133100,2.0365405119586946,NaN,2.376584267245303,NaN,NaN,NaN,NaN,3.466259055418626,NaN,NaN,NaN,NaN
1035207000,85.5,85.60001,84.08,85.38,87.719998,NaN,NaN,897.65,88.10856857142858,87.50999999999999,NaN,87.99001,NaN,NaN,88.10856857142858,NaN,NaN,0,0,953400,NaN,NaN,NaN,NaN,2230800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,953400,2.1193207245360233,NaN,2.2542165147816884,NaN,NaN,NaN,NaN,1.8246747972957882,NaN,NaN,NaN,NaN
1035815400,85.56,86.92999,85.2,85.98,87.727999,NaN,NaN,900.96,87.70856857142859,87.50999999999999,NaN,88.92,NaN,NaN,87.70856857142859,NaN,NaN,0,0,892500,NaN,NaN,NaN,NaN,3123300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,892500,2.1731320496023057,NaN,2.1793270126700186,63.5441557721747,NaN,NaN,NaN,1.295947219604157,NaN,NaN,NaN,NaN
1036420200,85.48,88.64999,84.91,88.44,87.863999,NaN,NaN,894.73,87.58571142857144,87.50999999999999,NaN,88.32001,NaN,NaN,87.58571142857144,NaN,NaN,0,0,977400,NaN,NaN,NaN,NaN,4100700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,977400,2.2546843282305473,NaN,2.402278868002874,69.79155631637717,NaN,NaN,NaN,3.973665647778034,NaN,NaN,3.973665647778034,3.973665647778034
1037025000,88.55,89.14999,86.25999,87.11,87.828998,NaN,NaN,909.74,87.16714142857144,87.50999999999999,NaN,90.58,NaN,NaN,87.16714142857144,NaN,NaN,0,0,897700,NaN,NaN,NaN,NaN,3203000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,897700,2.3368719956261836,NaN,2.4719533154310347,63.459695069723104,NaN,NaN,NaN,1.4086264736468501,NaN,NaN,NaN,NaN
1037629800,87.02,88.23,85.86,86.03999,87.554997,NaN,NaN,930.55,86.67142714285714,87.50999999999999,NaN,93.72,NaN,NaN,86.67142714285714,NaN,NaN,0,0,899400,NaN,NaN,NaN,NaN,2303600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,899400,2.353032853393872,NaN,2.4573885560837447,58.834979856031154,NaN,NaN,NaN,-1.1943155718879137,NaN,NaN,NaN,NaN
1038234600,86,87.02,84.96001,85.55,87.179997,NaN,NaN,936.31,86.26714142857143,87.489995,NaN,95.85001,NaN,NaN,86.26714142857143,NaN,NaN,0,0,1023300,NaN,NaN,NaN,NaN,1280300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1023300,2.3823130171947478,NaN,2.400617333786067,56.79384205182079,NaN,NaN,NaN,-2.183866660888788,NaN,NaN,NaN,NaN
